DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD
2022.11.24	02:30:00	1753.99	1755.07	1753.58	1753.85	926	0	6
2022.11.24	02:45:00	1753.87	1754.54	1752.95	1753.49	1029	0	6
2022.11.24	03:00:00	1753.49	1755.14	1752.67	1754.96	2326	0	6
2022.11.24	03:15:00	1754.95	1755.26	1753.51	1753.59	1834	0	10
2022.11.24	03:30:00	1753.59	1755.33	1752.30	1755.13	1398	0	10
2022.11.24	03:45:00	1755.09	1756.07	1755.07	1755.50	1405	0	10
2022.11.24	04:00:00	1755.52	1755.69	1754.42	1754.67	989	0	10
2022.11.24	04:15:00	1754.59	1755.30	1754.02	1754.30	676	0	10
2022.11.24	04:30:00	1754.30	1755.10	1754.04	1754.59	794	0	10
2022.11.24	04:45:00	1754.55	1755.89	1754.36	1755.06	877	0	10
2022.11.24	05:00:00	1755.11	1756.35	1754.90	1755.21	1031	0	10
2022.11.24	05:15:00	1755.31	1756.25	1755.04	1755.70	819	0	10
2022.11.24	05:30:00	1755.67	1755.67	1754.73	1755.35	467	0	10
2022.11.24	05:45:00	1755.35	1756.60	1755.31	1756.28	598	0	10
2022.11.24	06:00:00	1756.28	1756.77	1755.72	1756.05	595	0	10
2022.11.24	06:15:00	1756.05	1756.09	1755.24	1755.68	404	0	10
2022.11.24	06:30:00	1755.68	1755.88	1755.26	1755.43	493	0	10
2022.11.24	06:45:00	1755.43	1756.02	1755.34	1755.78	544	0	10
2022.11.24	07:00:00	1755.67	1755.89	1754.23	1754.46	632	0	10
2022.11.24	07:15:00	1754.46	1754.99	1754.22	1754.56	575	0	10
2022.11.24	07:30:00	1754.56	1755.22	1753.45	1753.59	1010	0	10
2022.11.24	07:45:00	1753.55	1753.98	1753.08	1753.11	993	0	10
2022.11.24	08:00:00	1753.17	1753.93	1752.61	1753.66	1189	0	10
2022.11.24	08:15:00	1753.66	1754.19	1752.85	1753.14	924	0	10
2022.11.24	08:30:00	1753.05	1754.33	1752.91	1754.08	816	0	10
2022.11.24	08:45:00	1753.97	1755.68	1753.66	1755.27	697	0	10
2022.11.24	09:00:00	1755.36	1757.52	1755.02	1756.78	1207	0	10
2022.11.24	09:15:00	1756.75	1757.11	1756.02	1756.87	988	0	10
2022.11.24	09:30:00	1756.88	1757.63	1755.26	1755.66	1341	0	10
2022.11.24	09:45:00	1755.62	1756.42	1753.66	1753.88	1524	0	10
2022.11.24	10:00:00	1753.86	1754.55	1752.45	1754.18	2341	0	10
2022.11.24	10:15:00	1754.20	1754.87	1753.33	1754.54	1889	0	10
2022.11.24	10:30:00	1754.53	1756.99	1754.46	1756.09	1737	0	10
2022.11.24	10:45:00	1756.08	1756.41	1755.25	1755.68	1541	0	10
2022.11.24	11:00:00	1755.71	1758.09	1755.62	1757.83	1900	0	10
2022.11.24	11:15:00	1757.83	1758.19	1756.88	1757.28	1518	0	10
2022.11.24	11:30:00	1757.28	1757.28	1755.65	1756.26	1330	0	10
2022.11.24	11:45:00	1756.26	1756.72	1755.97	1756.28	1338	0	10
2022.11.24	12:00:00	1756.29	1758.58	1756.16	1758.22	1656	0	10
2022.11.24	12:15:00	1758.22	1758.56	1756.35	1756.40	1718	0	10
2022.11.24	12:30:00	1756.45	1756.49	1754.56	1755.84	1840	0	10
2022.11.24	12:45:00	1755.86	1756.72	1754.60	1756.15	1486	0	10
2022.11.24	13:00:00	1756.23	1756.85	1755.85	1755.94	1478	0	10
2022.11.24	13:15:00	1755.94	1757.30	1755.82	1756.07	1656	0	10
2022.11.24	13:30:00	1756.07	1758.14	1755.83	1757.89	1470	0	10
2022.11.24	13:45:00	1757.88	1758.55	1757.83	1758.31	1128	0	10
2022.11.24	14:00:00	1758.34	1758.58	1757.49	1757.90	1103	0	10
2022.11.24	14:15:00	1757.97	1758.43	1757.61	1758.05	1053	0	10
2022.11.24	14:30:00	1758.06	1758.38	1757.57	1757.99	1104	0	10
2022.11.24	14:45:00	1758.00	1758.29	1756.92	1757.39	1380	0	10
2022.11.24	15:00:00	1757.39	1757.68	1756.49	1756.88	2019	0	10
2022.11.24	15:15:00	1756.88	1757.05	1755.15	1755.92	1626	0	10
2022.11.24	15:30:00	1755.92	1756.70	1755.51	1756.52	1496	0	10
2022.11.24	15:45:00	1756.52	1757.37	1756.35	1756.88	1536	0	10
2022.11.24	16:00:00	1756.90	1757.35	1755.81	1756.01	1368	0	10
2022.11.24	16:15:00	1756.02	1756.63	1755.79	1756.38	1410	0	10
2022.11.24	16:30:00	1756.42	1756.64	1755.59	1756.37	1370	0	10
2022.11.24	16:45:00	1756.37	1756.81	1755.43	1756.13	1354	0	10
2022.11.24	17:00:00	1756.13	1756.35	1755.16	1756.06	1574	0	10
2022.11.24	17:15:00	1756.02	1756.83	1755.76	1756.67	1118	0	10
2022.11.24	17:30:00	1756.70	1758.51	1756.55	1758.09	1337	0	10
2022.11.24	17:45:00	1758.08	1758.18	1756.40	1756.81	1288	0	10
2022.11.24	18:00:00	1756.81	1757.29	1756.38	1756.55	1154	0	10
2022.11.24	18:15:00	1756.55	1757.08	1756.39	1756.76	876	0	10
2022.11.24	18:30:00	1756.76	1757.30	1756.43	1756.51	563	0	10
2022.11.24	18:45:00	1756.56	1756.98	1756.08	1756.84	272	0	10
2022.11.24	19:00:00	1756.84	1757.35	1756.55	1756.65	366	0	10
2022.11.24	19:15:00	1756.60	1756.66	1755.58	1755.62	337	0	10
2022.11.24	19:30:00	1755.65	1755.66	1755.02	1755.17	303	0	10
2022.11.24	19:45:00	1755.17	1755.51	1754.83	1755.38	370	0	10
2022.11.24	20:00:00	1755.38	1755.60	1754.88	1754.90	209	0	5
2022.11.25	01:00:00	1754.79	1755.37	1754.68	1755.24	270	0	18
2022.11.25	01:15:00	1755.22	1755.96	1755.21	1755.48	377	0	18
2022.11.25	01:30:00	1755.49	1756.04	1755.46	1755.71	358	0	18
2022.11.25	01:45:00	1755.72	1755.98	1755.36	1755.44	309	0	6
2022.11.25	02:00:00	1755.34	1755.75	1753.84	1753.90	925	0	6
2022.11.25	02:15:00	1753.89	1754.18	1753.01	1753.14	900	0	6
2022.11.25	02:30:00	1753.02	1753.55	1752.48	1753.23	1229	0	6
2022.11.25	02:45:00	1753.20	1753.74	1752.36	1753.54	1140	0	6
2022.11.25	03:00:00	1753.54	1754.55	1752.87	1754.53	1137	0	6
2022.11.25	03:15:00	1754.51	1756.38	1754.40	1756.13	1339	0	10
2022.11.25	03:30:00	1756.11	1757.52	1754.63	1756.42	1441	0	10
2022.11.25	03:45:00	1756.30	1757.27	1756.16	1756.50	1296	0	10
2022.11.25	04:00:00	1756.49	1757.97	1756.41	1757.75	923	0	10
2022.11.25	04:15:00	1757.86	1758.95	1757.28	1757.89	791	0	10
2022.11.25	04:30:00	1757.94	1758.89	1757.77	1758.59	860	0	10
2022.11.25	04:45:00	1758.60	1759.37	1758.21	1758.59	788	0	10
2022.11.25	05:00:00	1758.59	1758.81	1757.61	1757.86	630	0	10
2022.11.25	05:15:00	1757.92	1758.34	1757.37	1757.51	726	0	10
2022.11.25	05:30:00	1757.57	1758.98	1757.51	1758.55	441	0	10
2022.11.25	05:45:00	1758.55	1759.67	1758.51	1759.59	550	0	10
2022.11.25	06:00:00	1759.60	1761.21	1759.37	1759.97	897	0	10
2022.11.25	06:15:00	1759.97	1760.17	1759.55	1759.67	593	0	10
2022.11.25	06:30:00	1759.58	1759.67	1758.67	1759.12	535	0	10
2022.11.25	06:45:00	1759.13	1759.72	1758.15	1758.57	592	0	10
2022.11.25	07:00:00	1758.58	1759.04	1757.76	1758.22	721	0	10
2022.11.25	07:15:00	1758.22	1758.28	1757.45	1758.00	652	0	10
2022.11.25	07:30:00	1757.99	1758.68	1757.44	1757.55	947	0	10
2022.11.25	07:45:00	1757.55	1757.85	1755.70	1756.65	886	0	10
2022.11.25	08:00:00	1756.58	1756.75	1754.64	1755.06	788	0	10
2022.11.25	08:15:00	1755.06	1755.73	1754.37	1754.79	763	0	10
2022.11.25	08:30:00	1754.81	1756.85	1754.58	1756.47	1018	0	10
2022.11.25	08:45:00	1756.53	1757.09	1756.04	1756.95	648	0	10
2022.11.25	09:00:00	1756.82	1756.91	1755.41	1755.83	910	0	10
2022.11.25	09:15:00	1755.80	1755.81	1753.59	1754.57	1242	0	10
2022.11.25	09:30:00	1754.57	1755.36	1753.14	1753.47	1016	0	10
2022.11.25	09:45:00	1753.38	1753.76	1751.55	1751.58	1509	0	10
2022.11.25	10:00:00	1751.58	1752.23	1750.07	1752.15	2383	0	10
2022.11.25	10:15:00	1752.16	1753.73	1751.87	1752.43	1873	0	10
2022.11.25	10:30:00	1752.40	1753.08	1751.79	1752.04	1418	0	10
2022.11.25	10:45:00	1752.01	1752.50	1750.85	1752.41	1439	0	10
2022.11.25	11:00:00	1752.42	1753.36	1752.23	1752.46	1521	0	10
2022.11.25	11:15:00	1752.45	1752.91	1751.67	1752.15	1499	0	10
2022.11.25	11:30:00	1752.14	1753.61	1750.01	1750.48	2099	0	10
2022.11.25	11:45:00	1750.48	1751.00	1749.25	1750.92	2259	0	10
2022.11.25	12:00:00	1750.94	1752.18	1750.11	1751.69	1494	0	10
2022.11.25	12:15:00	1751.72	1753.66	1751.54	1753.56	1364	0	10
2022.11.25	12:30:00	1753.57	1754.42	1753.01	1753.26	1609	0	10
2022.11.25	12:45:00	1753.30	1753.77	1751.77	1752.53	1126	0	10
2022.11.25	13:00:00	1752.53	1753.62	1752.16	1753.62	1219	0	10
2022.11.25	13:15:00	1753.64	1753.96	1752.66	1753.60	1290	0	10
2022.11.25	13:30:00	1753.59	1753.79	1752.53	1752.55	1174	0	10
2022.11.25	13:45:00	1752.54	1752.66	1751.02	1751.10	1497	0	10
2022.11.25	14:00:00	1751.09	1751.80	1750.15	1751.21	1656	0	10
2022.11.25	14:15:00	1751.21	1752.00	1750.56	1751.59	1275	0	10
2022.11.25	14:30:00	1751.60	1751.99	1750.43	1750.95	1593	0	10
2022.11.25	14:45:00	1751.08	1751.32	1749.90	1750.94	1458	0	10
2022.11.25	15:00:00	1750.94	1751.44	1748.99	1749.51	2339	0	10
2022.11.25	15:15:00	1749.51	1750.11	1746.70	1747.70	2786	0	10
2022.11.25	15:30:00	1747.68	1748.22	1746.58	1747.07	1979	0	10
2022.11.25	15:45:00	1747.04	1748.85	1746.02	1748.38	2096	0	10
2022.11.25	16:00:00	1748.35	1748.70	1747.20	1748.25	1921	0	10
2022.11.25	16:15:00	1748.25	1750.00	1747.04	1749.53	1929	0	10
2022.11.25	16:30:00	1749.55	1750.81	1748.42	1750.44	3072	0	10
2022.11.25	16:45:00	1750.44	1752.61	1749.98	1751.74	2455	0	10
